date,Total New Cases
18/07/22,0
19/07/22,0
20/07/22,0
21/07/22,0
22/07/22,0
23/07/22,0
24/07/22,30917508
25/07/22,0
26/07/22,0
27/07/22,0
28/07/22,0
29/07/22,0
30/07/22,0
31/07/22,30519508
01/08/22,0
02/08/22,0
03/08/22,0
04/08/22,0
05/08/22,0
06/08/22,0
07/08/22,29050719
08/08/22,0
09/08/22,0
10/08/22,0
11/08/22,0
12/08/22,0
13/08/22,0
14/08/22,23999870
15/08/22,0
16/08/22,0
17/08/22,0
18/08/22,0
19/08/22,0
20/08/22,0
21/08/22,22368447
22/08/22,0
23/08/22,0
24/08/22,0
25/08/22,0
26/08/22,0
27/08/22,0
28/08/22,19817695
29/08/22,0
30/08/22,0
31/08/22,0
01/09/22,0
02/09/22,0
03/09/22,0
04/09/22,17826365
05/09/22,0
06/09/22,0
07/09/22,0
08/09/22,0
09/09/22,0
10/09/22,0
11/09/22,13723133
12/09/22,0
13/09/22,0
14/09/22,0
15/09/22,0
16/09/22,0
17/09/22,0
18/09/22,14373651
19/09/22,0
20/09/22,0
21/09/22,0
22/09/22,0
23/09/22,0
24/09/22,0
25/09/22,13813523
26/09/22,0
27/09/22,0
28/09/22,0
29/09/22,0
30/09/22,0
01/10/22,0
02/10/22,14253997
03/10/22,0
04/10/22,0
05/10/22,0
06/10/22,0
07/10/22,0
08/10/22,0
09/10/22,14485798
10/10/22,0
11/10/22,0
12/10/22,0
13/10/22,0
14/10/22,0
15/10/22,0
16/10/22,14346756
17/10/22,0
18/10/22,0
19/10/22,0
20/10/22,0
21/10/22,0
22/10/22,0
23/10/22,13000655
24/10/22,0
25/10/22,0
26/10/22,0
27/10/22,0
28/10/22,0
29/10/22,0
30/10/22,11146953
31/10/22,0
01/11/22,0
02/11/22,0
03/11/22,0
04/11/22,0
05/11/22,0
06/11/22,10077794
07/11/22,0
08/11/22,0
09/11/22,0
10/11/22,0
11/11/22,0
12/11/22,0
13/11/22,10649105
14/11/22,0
15/11/22,0
16/11/22,0
17/11/22,0
18/11/22,0
19/11/22,0
20/11/22,11496147
21/11/22,0
22/11/22,0
23/11/22,0
24/11/22,0
25/11/22,0
26/11/22,0
27/11/22,12753925
28/11/22,0
29/11/22,0
30/11/22,0
01/12/22,0
02/12/22,0
03/12/22,0
04/12/22,13907573
05/12/22,0
06/12/22,0
07/12/22,0
08/12/22,0
09/12/22,0
10/12/22,0
11/12/22,19462465
12/12/22,0
13/12/22,0
14/12/22,0
15/12/22,0
16/12/22,0
17/12/22,0
18/12/22,60875781
19/12/22,0
20/12/22,0
21/12/22,0
22/12/22,0
23/12/22,0
24/12/22,0
25/12/22,177772760
26/12/22,0
27/12/22,0
28/12/22,0
29/12/22,0
30/12/22,0
31/12/22,0
01/01/23,111508040
02/01/23,0
03/01/23,0
04/01/23,0
05/01/23,0
06/01/23,0
07/01/23,0
08/01/23,44362571
09/01/23,0
10/01/23,0
11/01/23,0
12/01/23,0
13/01/23,0
14/01/23,0
15/01/23,19859273
16/01/23,0
17/01/23,0
18/01/23,0
19/01/23,0
20/01/23,0
21/01/23,0
22/01/23,10276127
23/01/23,0
24/01/23,0
25/01/23,0
26/01/23,0
27/01/23,0
28/01/23,0
29/01/23,6441682
30/01/23,0
31/01/23,0
01/02/23,0
02/02/23,0
03/02/23,0
04/02/23,0
05/02/23,5758840
06/02/23,0
07/02/23,0
08/02/23,0
09/02/23,0
10/02/23,0
11/02/23,0
12/02/23,5209060
13/02/23,0
14/02/23,0
15/02/23,0
16/02/23,0
17/02/23,0
18/02/23,0
19/02/23,4833096
20/02/23,0
21/02/23,0
22/02/23,0
23/02/23,0
24/02/23,0
25/02/23,0
26/02/23,4575741
27/02/23,0
28/02/23,0
01/03/23,0
02/03/23,0
03/03/23,0
04/03/23,0
05/03/23,4368869
06/03/23,0
07/03/23,0
08/03/23,0
09/03/23,0
10/03/23,0
11/03/23,0
12/03/23,3802199
13/03/23,0
14/03/23,0
15/03/23,0
16/03/23,0
17/03/23,0
18/03/23,0
19/03/23,3735175
20/03/23,0
21/03/23,0
22/03/23,0
23/03/23,0
24/03/23,0
25/03/23,0
26/03/23,3535739
27/03/23,0
28/03/23,0
29/03/23,0
30/03/23,0
31/03/23,0
01/04/23,0
02/04/23,3372906
03/04/23,0
04/04/23,0
05/04/23,0
06/04/23,0
07/04/23,0
08/04/23,0
09/04/23,2949692
10/04/23,0
11/04/23,0
12/04/23,0
13/04/23,0
14/04/23,0
15/04/23,0
16/04/23,2918942
17/04/23,0
18/04/23,0
19/04/23,0
20/04/23,0
21/04/23,0
22/04/23,0
23/04/23,3088733
24/04/23,0
25/04/23,0
26/04/23,0
27/04/23,0
28/04/23,0
29/04/23,0
30/04/23,2853431
01/05/23,0
02/05/23,0
03/05/23,0
04/05/23,0
05/05/23,0
06/05/23,0
07/05/23,2535320
08/05/23,0
09/05/23,0
10/05/23,0
11/05/23,0
12/05/23,0
13/05/23,0
14/05/23,2349985
15/05/23,0
16/05/23,0
17/05/23,0
18/05/23,0
19/05/23,0
20/05/23,0
21/05/23,1588568
22/05/23,0
23/05/23,0
24/05/23,0
25/05/23,0
26/05/23,0
27/05/23,0
28/05/23,1490245
29/05/23,0
30/05/23,0
31/05/23,0
01/06/23,0
02/06/23,0
03/06/23,0
04/06/23,1234113
05/06/23,0
06/06/23,0
07/06/23,0
08/06/23,0
09/06/23,0
10/06/23,0
11/06/23,1183548
12/06/23,0
13/06/23,0
14/06/23,0
15/06/23,0
16/06/23,0
17/06/23,0
18/06/23,620843
19/06/23,0
20/06/23,0
21/06/23,0
22/06/23,0
23/06/23,0
24/06/23,0
25/06/23,861250
26/06/23,0
27/06/23,0
28/06/23,0
29/06/23,0
30/06/23,0
01/07/23,0
02/07/23,734825
03/07/23,0
04/07/23,0
05/07/23,0
06/07/23,0
07/07/23,0
08/07/23,0
09/07/23,754698
10/07/23,0
11/07/23,0
12/07/23,0
13/07/23,0
14/07/23,0
15/07/23,0
16/07/23,831312
17/07/23,0
18/07/23,0
19/07/23,0
20/07/23,0
21/07/23,0
22/07/23,0
23/07/23,1027636
24/07/23,0
25/07/23,0
26/07/23,0
27/07/23,0
28/07/23,0
29/07/23,0
30/07/23,1299046
31/07/23,0
01/08/23,0
02/08/23,0
03/08/23,0
04/08/23,0
